id,name,date,description,category,year
7,Incandescent light bulb,1880-01-01,"An incandescent light bulb, incandescent lamp or incandescent light globe is an electric light with a filament that is heated until it glows. The filament",Scientific Discovery,1880
15,Radar,1935-01-01,"Radar is a system that uses radio waves to determine the distance (ranging), direction (azimuth and elevation angles), and radial velocity of objects",Scientific Discovery,1935
